Actual \ Predicted, AaronPressman, AlanCrosby, AlexanderSmith, BenjaminKangLim, BernardHickey, BradDorfman, DarrenSchuettler, DavidLawder, EdnaFernandes, EricAuchard, FumikoFujisaki, GrahamEarnshaw, HeatherScoffield, JanLopatka, JaneMacartney, JimGilchrist, JoWinterbottom, JoeOrtiz, JohnMastrini, JonathanBirt, KarlPenhaul, KeithWeir, KevinDrawbaugh, KevinMorrison, KirstinRidley, KouroshKarimkhany, LydiaZajc, LynneO'Donnell, LynnleyBrowning, MarcelMichelson, MarkBendeich, MartinWolk, MatthewBunce, MichaelConnor, MureDickie, NickLouth, PatriciaCommins, PeterHumphrey, PierreTran, RobinSidel, RogerFillion, SamuelPerry, SarahDavison, ScottHillis, SimonCowell, TanEeLyn, TheresePoletti, TimFarrand, ToddNissen, WilliamKazer
 MartinWolk,0,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,3,1,0,2,0,0,64,0,1,0,0,0,0,2,0,0,3,0,0,0,0,6,0,1,0
 MatthewBunce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MichaelConnor,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,86,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0
 MureDickie,0,0,0,15,0,1,0,0,0,0,2,6,0,0,9,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,3,0,0,38,0,0,0,0,0,0,1,1,11,0,0,0,0,0,8
 NickLouth,1,0,1,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,2,0,72,1,0,0,0,2,0,0,0,1,0,2,0,0,0
 PatriciaCommins,1,0,0,0,0,4,1,4,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3,1,1,2,2,0,1,0,3,65,0,0,1,0,0,0,0,0,0,0,3,0,0
 PeterHumphrey,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,74,0,0,0,0,1,2,0,9,0,0,0,0
 PierreTran,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0
 RobinSidel,0,1,0,0,0,4,5,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,75,0,0,0,0,0,0,0,1,0,0
 RogerFillion,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0
 SamuelPerry,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,54,0,0,0,0,9,0,0,0
 SarahDavison,0,2,3,0,1,0,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,23,0,0,0,0,52,0,0,5,0,0,0,1
 ScottHillis,0,1,0,26,1,0,1,0,0,0,0,4,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,0,1,27,0,1,0,0,0,6
 SimonCowell,1,0,5,0,0,1,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,1,0,0
 TanEeLyn,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,2,1,0,0,4,2,0,0,0,0,0,9,0,0,44,0,0,0,0,5,0,0,23,0,0,0,0
 TheresePoletti,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,72,0,0,0
 TimFarrand,0,0,2,0,0,4,0,1,4,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,75,1,0
 ToddNissen,0,2,0,0,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0
 WilliamKazer,0,0,0,18,0,0,0,0,0,1,0,11,0,1,10,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,10,0,0,5,0,0,0,0,2,6,0,1,0,0,0,30
